 "11th International Conference on Security and Privacy in Communication Networks, SecureComm 2015"  $ "[No author name available]"  $ reviewer2 $ (1,)
 "11th International Conference on Security and Privacy in Communication Networks, SecureComm 2015"  $ "[No author name available]"  $ reviewer3 $ (3,)

 "11th Working Conference on Mining Software Repositories, MSR 2014 - Proceedings"  $ "[No author name available]"  $ reviewer2 $ ()
 "11th Working Conference on Mining Software Repositories, MSR 2014 - Proceedings"  $ "[No author name available]"  $ reviewer3 $ (4,)

 "2010 ICSE Workshop on Search-Driven Development: Users, Infrastructure, Tools and Evaluation, SUITE 2010"  $ "[No author name available]"  $ reviewer1 $ (1,)
 "2010 ICSE Workshop on Search-Driven Development: Users, Infrastructure, Tools and Evaluation, SUITE 2010"  $ "[No author name available]"  $ reviewer3 $ (4,)

 "2013 10th Working Conference on Mining Software Repositories, MSR 2013 - Proceedings"  $ "[No author name available]"  $ reviewer2 $ (1,)
 "2013 10th Working Conference on Mining Software Repositories, MSR 2013 - Proceedings"  $ "[No author name available]"  $ reviewer4 $ (2,)

 "3D ITS campus on the web: A WebGL implementation"  $ "Yuniarti A., Atidnminanto A., Mardasatria A., Hariadi R.R., Suciati N."  $ reviewer1 $ (1,)
 "3D ITS campus on the web: A WebGL implementation"  $ "Yuniarti A., Atidnminanto A., Mardasatria A., Hariadi R.R., Suciati N."  $ reviewer3 $ ()

 "3rd International Symposium on Leveraging Applications of Formal Methods, Verification and Validation, ISoLA 2008"  $ "[No author name available]"  $ reviewer1 $ (1,)
 "3rd International Symposium on Leveraging Applications of Formal Methods, Verification and Validation, ISoLA 2008"  $ "[No author name available]"  $ reviewer4 $ (2,)

 "4th International Conference on Human-Centered Software Engineering, HCSE 2016"  $ "[No author name available]"  $ reviewer1 $ (1,)
 "4th International Conference on Human-Centered Software Engineering, HCSE 2016"  $ "[No author name available]"  $ reviewer4 $ (2,)

 "A Framework for automatically mining source code"  $ "Khatoon S., Li G., Ashfaq R.M."  $ reviewer1 $ (2,)
 "A Framework for automatically mining source code"  $ "Khatoon S., Li G., Ashfaq R.M."  $ reviewer4 $ (1,)

 "A Local Bounding Box Method for Campus Navigation Based on Baidu Map"  $ "En X.D., Zhili Z."  $ reviewer2 $ (1,)
 "A Local Bounding Box Method for Campus Navigation Based on Baidu Map"  $ "En X.D., Zhili Z."  $ reviewer4 $ (0,)

 "A WPAN platform design in mobile phone considering application development and usability"  $ "Kim I.-H., Jeong G.-M., Park E.-C., Chung K.-D."  $ reviewer2 $ (0,)
 "A WPAN platform design in mobile phone considering application development and usability"  $ "Kim I.-H., Jeong G.-M., Park E.-C., Chung K.-D."  $ reviewer3 $ (1,)

 "A course-based usability analysis of Cilk Plus and OpenMP"  $ "Coblenz M., Seacord R., Myers B., Sunshine J., Aldrich J."  $ reviewer1 $ (2,)
 "A course-based usability analysis of Cilk Plus and OpenMP"  $ "Coblenz M., Seacord R., Myers B., Sunshine J., Aldrich J."  $ reviewer3 $ ()

 "A first view of exedra: A domain-specific language for large graph analytics workflows"  $ "Dayarathna M., Suzumura T."  $ reviewer1 $ (1,)
 "A first view of exedra: A domain-specific language for large graph analytics workflows"  $ "Dayarathna M., Suzumura T."  $ reviewer4 $ (0,)

 "A framework for the evaluation of specification miners based on finite state machines"  $ "Pradel M., Bichsel P., Gross T.R."  $ reviewer2 $ (0,)
 "A framework for the evaluation of specification miners based on finite state machines"  $ "Pradel M., Bichsel P., Gross T.R."  $ reviewer3 $ (1,)

 "A graph-based approach to API usage adaptation"  $ "Nguyen H.A., Nguyen T.T., Wilson Jr. G., Nguyen A.T., Kim M., Nguyen T.N."  $ reviewer1 $ (1,)
 "A graph-based approach to API usage adaptation"  $ "Nguyen H.A., Nguyen T.T., Wilson Jr. G., Nguyen A.T., Kim M., Nguyen T.N."  $ reviewer3 $ ()

 "A novel integrated framework to increase software quality by mining source code"  $ "Khatoon S., Mahmood A., Li G., Xu J."  $ reviewer1 $ (1,)
 "A novel integrated framework to increase software quality by mining source code"  $ "Khatoon S., Mahmood A., Li G., Xu J."  $ reviewer4 $ (4,)

 "A parallel meshless numerical approach for the solution of transport phenomena"  $ "Kosec G., Trobec R."  $ reviewer1 $ (0,)
 "A parallel meshless numerical approach for the solution of transport phenomena"  $ "Kosec G., Trobec R."  $ reviewer3 $ (3,)

 "A plug-in architecture for connecting to new data sources on mobile devices"  $ "Chang K.S.-P., Myers B.A., Cahill G.M., Simanta S., Morris E., Lewis G."  $ reviewer2 $ (1,)
 "A plug-in architecture for connecting to new data sources on mobile devices"  $ "Chang K.S.-P., Myers B.A., Cahill G.M., Simanta S., Morris E., Lewis G."  $ reviewer4 $ (0,)

 "A robotics API dialect for type-safe robots: Translating Myro to Ada"  $ "Mentis A.S."  $ reviewer2 $ (1,)
 "A robotics API dialect for type-safe robots: Translating Myro to Ada"  $ "Mentis A.S."  $ reviewer4 $ (0,)

 "A secure field programmable gate array based System-on-Chip for Telemedicine application"  $ "Thamrin N.M., Ahmad I., Hani M.K."  $ reviewer1 $ (1,)
 "A secure field programmable gate array based System-on-Chip for Telemedicine application"  $ "Thamrin N.M., Ahmad I., Hani M.K."  $ reviewer4 $ (0,)

 "A step towards a robotic system with smartphone working as its brain: An assistive technology"  $ "Sankhe P., Kuriakose S., Lahiri U."  $ reviewer2 $ (1,)
 "A step towards a robotic system with smartphone working as its brain: An assistive technology"  $ "Sankhe P., Kuriakose S., Lahiri U."  $ reviewer4 $ (0,)

 "A usability study of end-user construction of distributed multimedia applications"  $ "McCartney T.P."  $ reviewer1 $ (1,)
 "A usability study of end-user construction of distributed multimedia applications"  $ "McCartney T.P."  $ reviewer4 $ ()

 "A web API framework for developing grid portals"  $ "De Luca V., Epicoco I., Lezzi D., Aloisio G."  $ reviewer2 $ (1,)
 "A web API framework for developing grid portals"  $ "De Luca V., Epicoco I., Lezzi D., Aloisio G."  $ reviewer4 $ (0,)

 "API as a social glue"  $ "Padhye R., Mukherjee D., Sinha V.S."  $ reviewer2 $ (1,)
 "API as a social glue"  $ "Padhye R., Mukherjee D., Sinha V.S."  $ reviewer3 $ ()

 "API change and fault proneness: A threat to the success of android apps"  $ "Linares-Vásquez M., Bavota G., Bernal-Cárdenas C., Di Penta M., Oliveto R., Poshyvanyk D."  $ reviewer2 $ ()
 "API change and fault proneness: A threat to the success of android apps"  $ "Linares-Vásquez M., Bavota G., Bernal-Cárdenas C., Di Penta M., Oliveto R., Poshyvanyk D."  $ reviewer4 $ (1,)

 "API document quality for resolving deprecated APIs"  $ "Ko D., Ma K., Park S., Kim S., Kim D., Traon Y.L."  $ reviewer1 $ (2,)
 "API document quality for resolving deprecated APIs"  $ "Ko D., Ma K., Park S., Kim S., Kim D., Traon Y.L."  $ reviewer4 $ (1,)

 "API usability peer reviews: A method for evaluating the usability of application programming interfaces"  $ "Farooq U., Welicki L., Zirkler D."  $ reviewer1 $ (2,)
 "API usability peer reviews: A method for evaluating the usability of application programming interfaces"  $ "Farooq U., Welicki L., Zirkler D."  $ reviewer3 $ ()

 "API usage pattern recommendation for software development"  $ "Niu H., Keivanloo I., Zou Y."  $ reviewer1 $ (2,)
 "API usage pattern recommendation for software development"  $ "Niu H., Keivanloo I., Zou Y."  $ reviewer4 $ ()

 "APIExample: An effective web search based usage example recommendation system for java APIs"  $ "Wang L., Fang L., Wang L., Li G., Xie B., Yang F."  $ reviewer2 $ (1,)
 "APIExample: An effective web search based usage example recommendation system for java APIs"  $ "Wang L., Fang L., Wang L., Li G., Xie B., Yang F."  $ reviewer4 $ ()

 "Adaptable swarm intelligence framework"  $ "Cuibus M., Potolea R."  $ reviewer1 $ (2,)
 "Adaptable swarm intelligence framework"  $ "Cuibus M., Potolea R."  $ reviewer4 $ (0,)

 "An API design process in terms of usability: A case study on building more usable apis for smart TV platform"  $ "Lee S., Lee S., Lim S., Jung J., Choi S., Kim N., Lee J.-B."  $ reviewer2 $ (1,)
 "An API design process in terms of usability: A case study on building more usable apis for smart TV platform"  $ "Lee S., Lee S., Lim S., Jung J., Choi S., Kim N., Lee J.-B."  $ reviewer3 $ ()

 "An adaptation manager for personalized mobile web searches"  $ "Woemdl W., Yousef H."  $ reviewer1 $ (1,)
 "An adaptation manager for personalized mobile web searches"  $ "Woemdl W., Yousef H."  $ reviewer4 $ (0,)

 "An aspect-oriented software architecture for code mobility"  $ "Lobato C., Garcia A., Romanovsky A., Lucena C."  $ reviewer1 $ (1,)
 "An aspect-oriented software architecture for code mobility"  $ "Lobato C., Garcia A., Romanovsky A., Lucena C."  $ reviewer4 $ (0,)

 "An empirical investigation of the effects of type systems and code completion on API usability using TypeScript and JavaScript in MS visual studio"  $ "Fischer L., Hanenberg S."  $ reviewer1 $ (2,)
 "An empirical investigation of the effects of type systems and code completion on API usability using TypeScript and JavaScript in MS visual studio"  $ "Fischer L., Hanenberg S."  $ reviewer4 $ ()

 "An empirical study of API stability and adoption in the android ecosystem"  $ "McDonnell T., Ray B., Kim M."  $ reviewer2 $ ()
 "An empirical study of API stability and adoption in the android ecosystem"  $ "McDonnell T., Ray B., Kim M."  $ reviewer4 $ (1,)

 "An empirical study of the influence of static type systems on the usability of undocumented software"  $ "Mayer C., Hanenberg S., Robbes R., Tanter E., Stefik A."  $ reviewer2 $ (1,)
 "An empirical study of the influence of static type systems on the usability of undocumented software"  $ "Mayer C., Hanenberg S., Robbes R., Tanter E., Stefik A."  $ reviewer4 $ ()

 "An empirical study of the influence of static type systems on the usability of undocumented software"  $ "Mayer C., Hanenberg S., Robbes R., Tanter É., Stefik A."  $ reviewer2 $ (1,)
 "An empirical study of the influence of static type systems on the usability of undocumented software"  $ "Mayer C., Hanenberg S., Robbes R., Tanter É., Stefik A."  $ reviewer4 $ ()

 "An evaluation of source code mining techniques"  $ "Khatoon S., Mahmood A., Li G."  $ reviewer2 $ (1,)
 "An evaluation of source code mining techniques"  $ "Khatoon S., Mahmood A., Li G."  $ reviewer3 $ ()

 "An exploratory study of API usage examples on the web"  $ "Wang L., Zou Y., Fang L., Xie B., Yang F."  $ reviewer2 $ (1,)
 "An exploratory study of API usage examples on the web"  $ "Wang L., Zou Y., Fang L., Xie B., Yang F."  $ reviewer4 $ ()

 "An observational study on API usage constraints and their documentation"  $ "Saied M.A., Sahraoui H., Dufour B."  $ reviewer1 $ (2,)
 "An observational study on API usage constraints and their documentation"  $ "Saied M.A., Sahraoui H., Dufour B."  $ reviewer3 $ ()

 "Analysis of large-scale networks using high performance technology (vkontakte case study)"  $ "Kinash N., Tikhomirov A., Trufanov A., Berestneva O., Boukhanovsky A., Ashurova Z."  $ reviewer1 $ (1,)
 "Analysis of large-scale networks using high performance technology (vkontakte case study)"  $ "Kinash N., Tikhomirov A., Trufanov A., Berestneva O., Boukhanovsky A., Ashurova Z."  $ reviewer4 $ (0,)

 "Analyzing stripped device-driver executables"  $ "Balakrishnan G., Reps T."  $ reviewer2 $ (1,)
 "Analyzing stripped device-driver executables"  $ "Balakrishnan G., Reps T."  $ reviewer4 $ (0,)

 "Analyzing temporal API usage patterns"  $ "Uddin G., Dagenais B., Robillard M.P."  $ reviewer2 $ (1,)
 "Analyzing temporal API usage patterns"  $ "Uddin G., Dagenais B., Robillard M.P."  $ reviewer4 $ ()

