 "2010 6th Central and Eastern European Software Engineering Conference, CEE-SECR 2010"  $ "[No author name available]"  $ reviewer2 $ (4,)
 "2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering, SANER 2015 - Proceedings"  $ "[No author name available]"  $ reviewer2 $ (2,)
 "@tComment: Testing javadoc comments to detect comment-code inconsistencies"  $ "Tan S.H., Marinov D., Tan L., Leavens G.T."  $ reviewer1 $ (1,)
 "A CORBA-based distributed real-time crane simulator with 3D visualization"  $ "Zheng Z., Sepehri N."  $ reviewer2 $ (0,)
 "A New Platform for Cross-Repository Creation and Sharing of Educational Resources: Architecture and a Case Study"  $ "Favario L., Meo A.R., Masala E."  $ reviewer1 $ (1,)
 "A distributed parallel computing environment for bioinformatics problems"  $ "Xu G., Lu F., Yu H., Xu Z."  $ reviewer1 $ (1,)
 "A distributional semantic search infrastructure for linked dataspaces"  $ "Freitas A., O'Riain S., Curry E."  $ reviewer2 $ (1,)
 "A fast synchronization mechanism for collaborative web applications based on HTML5"  $ "Katayama S.-Y., Goda T., Shiramatsu S., Ozono T., Shintani T."  $ reviewer1 $ (1,)
 "A flexible transition scheme within a dual stack host in IPv4/IPv6 coexistence phase"  $ "Lee H.-C., Kim H.-J., Park K.-S."  $ reviewer2 $ (0,)
 "A framework to develop meta web interfaces"  $ "Leal J.P., Dias H."  $ reviewer2 $ (1,)
 "A human-centric API for programming socially interactive robots"  $ "Diprose J.P., Plimmer B., Macdonald B.A., Hosking J.G."  $ reviewer2 $ (1,)
 "A java API for global querying and updates for a system of databases"  $ "Sunderraman R., Dogdu E., Madiraju P., Malladi L."  $ reviewer1 $ (1,)
 "A large-scale study on repetitiveness, containment, and composability of routines in open-source projects"  $ "Nguyen A.T., Nguyen H.A., Nguyen T.N."  $ reviewer1 $ (1,)
 "A linked data framework for android"  $ "Rosoiu M.-E., David J., Euzenat J."  $ reviewer1 $ (1,)
 "A management architecture based on network topology information"  $ "Oliveira J.L., Martins J.A."  $ reviewer1 $ (1,)
 "A modular implementation framework for code mobility"  $ "Lobato C., Garcia A., Lucena C., Romanovsky A."  $ reviewer1 $ (1,)
 "A multilingual chat system with image presentation for detecting mistranslation"  $ "Hosogai E., Mukai T., Jung S., Kowase Y., Bossard A., Xu Y., Ishikawa M., Kaneko K."  $ reviewer1 $ (1,)
 "A qualitative human-centric evaluation of flexibility in middleware implementations"  $ "Maia R., Cerqueira R., De Souza C.S., Guisasola-Gorham T."  $ reviewer1 $ (1,)
 "A script generator API for the full-scale three-dimensional vibration simulation of an entire nuclear power plant within AEGIS"  $ "Kim G., Suzuki Y., Teshima N., Nishida A., Yamada T., Araya F., Takemiya H., Nakajima N., Kondo M."  $ reviewer2 $ (1,)
 "A sign language screen reader for deaf"  $ "Ghoul O.E., Jemni M."  $ reviewer1 $ (1,)
 "A software-defined cloud resource management framework"  $ "Abbasi A.A., Jin H., Wu S."  $ reviewer1 $ (1,)
 "APIs à gogo: Automatic generation of ontology APIs"  $ "Parreiras F.S., Saathoff C., Walter T., Franz T., Staab S."  $ reviewer1 $ (1,)
