 Title  $ ﻿Authors  $ reviewer4 $ (3,)
 "ExoData: A Python package to handle large exoplanet catalogue data"  $ "Varley R."  $ reviewer4 $ (0,)
 "Japanese EFL learners' uses of text-to-speech technology and their learning behaviors: A pilot study"  $ "Suro F., Ono Y."  $ reviewer4 $ (0,)
 "fine-GRAPE: fine-grained APi usage extractor – an approach and dataset to investigate API usage"  $ "Sawant A.A., Bacchelli A."  $ reviewer4 $ ()
 "NLCI: a natural language command interpreter"  $ "Landhäußer M., Weigelt S., Tichy W.F."  $ reviewer4 $ (1,)
 "TSSDroid: realization of an efficient and usable TSS API for the Android software stack"  $ "Khan S., Nauman M., Othman A.T., Musa S., Syed T.A."  $ reviewer4 $ (1,)
 "A cooperative approach for combining client-based and library-based API usage pattern mining"  $ "Saied M.A., Sahraoui H."  $ reviewer4 $ ()
 "Improving API usability"  $ "Myers B.A., Stylos J."  $ reviewer4 $ ()
 "Rethinking high performance computing platforms: Challenges, opportunities and recommendations"  $ "Weidner O., Atkinson M., Barker A., Vicente R.F."  $ reviewer4 $ (0,)
 "SWIM: Synthesizing what i mean code search and idiomatic snippet synthesis"  $ "Raghothaman M., Wei Y., Hamadi Y."  $ reviewer4 $ (1,)
 "Are easily usable security libraries possible and how should experts work together to create them?"  $ "Mindermann K."  $ reviewer4 $ ()
 "Understanding the API usage in Java"  $ "Qiu D., Li B., Leung H."  $ reviewer4 $ ()
 "Node.DPWS: Efficient Web Services for the Internet of Things"  $ "Fysarakis K., Mylonakis D., Manifavas C., Papaefstathiou I."  $ reviewer4 $ (0,)
 "Enhancing the Usability and Utilization of Accelerated Architectures via Docker"  $ "Haydel N., Gesing S., Taylor I., Madey G., Dakkak A., De Gonzalo S.G., Hwu W.-M.W."  $ reviewer4 $ (1,)
 "AspectDroid: Android app analysis system"  $ "Ali-Gombe A., Ahmed I., Richard G.G., III, Roussev V."  $ reviewer4 $ (0,)
 "The Prospect of Open Online e-Learning System Based on the Free Culture Movement - Development of YouTutors as an Auto-Assignment Generator by Utilizing Creative Commons Contents Online"  $ "Nakajima A., Ono Y."  $ reviewer4 $ (0,)
 "Recommending API usages for mobile apps with hidden Markov model"  $ "Nguyen T.T., Pham H.V., Vu P.M., Nguyen T.T."  $ reviewer4 $ ()
 "DSaaS: A cloud service for persistent data structures"  $ "Le Roux P.B., Kroon S., Bester W."  $ reviewer4 $ (0,)
 "Towards automated bounded model checking of API implementations"  $ "Neville D., Malton A., Brain M., Kroening D."  $ reviewer4 $ (1,)
 "Idea: Usable platforms for secure programming – mining Unix for insight and guidelines"  $ "Türpe S."  $ reviewer4 $ (1,)
 "Software library for ciphertext/key-policy functional encryption with simple usability"  $ "Hasegawa K., Kanayama N., Nishide T., Okamoto E."  $ reviewer4 $ (0,)
 "IVOrpheus: A proposal for interaction by voice commands in three-dimensional environments of information visualization"  $ "Furtado L., Miranda B., Neto N., Meiguins B."  $ reviewer4 $ (0,)
 "An exploratory study of api changes and usages based on apache and eclipse ecosystems"  $ "Wu W., Khomh F., Adams B., Guéhéneuc Y.-G., Antoniol G."  $ reviewer4 $ ()
 "The academic performance index: Creating a more robust and less biased measure of student academic performance"  $ "Godwin A., Scott T.D., Potvin G., Sonnert G., Sadler P.M."  $ reviewer4 $ (0,)
 "Recommending reference API documentation"  $ "Robillard M.P., Chhetri Y.B."  $ reviewer4 $ ()
 "OAuthHub-A Service for Consolidating Authentication Services"  $ "Chen X., Sime G., Lutteroth C., Weber G."  $ reviewer4 $ (0,)
 "VDJtools: Unifying Post-analysis of T Cell Receptor Repertoires"  $ "Shugay M., Bagaev D.V., Turchaninova M.A., Bolotin D.A., Britanova O.V., Putintseva E.V., Pogorelyy M.V., Nazarov V.I., Zvyagin I.V., Kirgizova V.I., Kirgizov K.I., Skorobogatova E.V., Chudakov D.M."  $ reviewer4 $ (0,)
 "An empirical investigation of the effects of type systems and code completion on API usability using TypeScript and JavaScript in MS visual studio"  $ "Fischer L., Hanenberg S."  $ reviewer4 $ ()
 "DLS 2015 - Proceedings of the 11th Symposium on Dynamic Languages"  $ "[No author name available]"  $ reviewer4 $ (0,)
 "RAC: A remote application calling framework for coordination of mobile apps"  $ "Papadopoulos P., Loukopoulos T., Anagnostopoulos I., Tziritas N., Vassilakopoulos M."  $ reviewer4 $ (0,)
 "Performance Analysis for Target Devices with the OpenMP Tools Interface"  $ "Cramer T., Dietrich R., Terboven C., Müller M.S., Nagel W.E."  $ reviewer4 $ (0,)
 "Construction of a voice-based asynchronous communication system utilizing speech recognition and its potential for EFL learners' speaking ability: A pilot study"  $ "Ono Y., Ishii T., Ohnishi A."  $ reviewer4 $ (0,)
 "A Local Bounding Box Method for Campus Navigation Based on Baidu Map"  $ "En X.D., Zhili Z."  $ reviewer4 $ (0,)
 "Improving energy consumption in android apps"  $ "Bernal-Cárdenas C."  $ reviewer4 $ (0,)
 "Deductive verification of parallel programs using why3"  $ "Santos C., Martins F., Vasconcelos V.T."  $ reviewer4 $ (0,)
 "Searching the State Space: A Qualitative Study of API Protocol Usability"  $ "Sushine J., Herbsleb J.D., Aldrich J."  $ reviewer4 $ ()
