Authors;Title;Abstract;Author Keywords
"Song F., Touili T.";"Model-checking software library API usage rules";"Modern software increasingly relies on using third-party libraries which are accessed via application programming interfaces (APIs). Libraries usually impose constraints on how API functions can be used (API usage rules) and programmers have to obey these API usage rules. However, API usage rules often are not well documented or documented informally. In this work, we show how to use the SCTPL and SLTPL logics to precisely and formally specify API usage rules in libraries, where SCTPL/SLTPL can be seen as an extension of the branching/linear temporal logic CTL/LTL with variables, quantifiers and predicates over the stack. This allows library providers to formally describe API usage rules without knowing how their libraries will be used by programmers. We propose an automated approach to check whether programs using libraries violate API usage rules or not. Our approach consists in modeling programs as pushdown systems (PDSs) and checking API usage rules by SCTPL/SLTPL model-checking for PDSs. To make the model-checking procedure more efficient and precise, we propose an abstraction that reduces drastically the size of the program model and integrate may-alias analysis into our approach to reduce false alarms. Moreover, we characterize two sublogics rSCTPL and rSLTPL of SCTPL and SLTPL that are preserved by the abstraction. We implement our techniques in a tool and apply the tool to check several open-source programs. Our tool finds several previously unknown bugs in several programs. The may-alias analysis avoids most of the false alarms that occur using SCTPL or SLTPL model-checking techniques without may-alias analysis. © 2015, Springer-Verlag Berlin Heidelberg.";"Model-checking, Pushdown systems, Software API usage rules"
"Campos E.C., de Souza L.B.L., Maia M.D.A.";"Searching crowd knowledge to recommend solutions for API usage tasks";"Stack Overflow (SO) is a question and answer service directed to issues related to software development. In SO, developers post questions related to a programming topic and other members of the site can provide answers to help them. The information available on this type of service is also known as ‘crowd knowledge’ and currently is one important trend in supporting activities related to software development. We present an approach that makes use of ‘crowd knowledge’ in SO to recommend information that can assist developer activities. This strategy recommends a ranked list of question-answer pairs from SO based on a query. The criteria for ranking are based on three main aspects: the textual similarity of the pairs with respect to the query related to the developer's problem, the quality of the pairs, and a filtering mechanism that considers only ‘how-to’ posts. We conducted an experiment considering programming problems on three different topics (Swing, Boost and LINQ) widely used by the software development community to evaluate the proposed recommendation strategy. The results have shown that for Lucene + Score + How-to approach, 77.14% of the assessed activities have at least one recommended pair proved to be useful concerning the target programming problem. Copyright © 2016 John Wiley & Sons, Ltd. Copyright © 2016 John Wiley & Sons, Ltd.";"crowd knowledge, Q&A services, recommendation systems"
"Varley R.";"ExoData: A Python package to handle large exoplanet catalogue data";"Exoplanet science often involves using the system parameters of real exoplanets for tasks such as simulations, fitting routines, and target selection for proposals. Several exoplanet catalogues are already well established but often lack a version history and code friendly interfaces. Software that bridges the barrier between the catalogues and code enables users to improve the specific repeatability of results by facilitating the retrieval of exact system parameters used in articles results along with unifying the equations and software used. As exoplanet science moves towards large data, gone are the days where researchers can recall the current population from memory. An interface able to query the population now becomes invaluable for target selection and population analysis. ExoData is a Python interface and exploratory analysis tool for the Open Exoplanet Catalogue. It allows the loading of exoplanet systems into Python as objects (Planet, Star, Binary, etc.) from which common orbital and system equations can be calculated and measured parameters retrieved. This allows researchers to use tested code of the common equations they require (with units) and provides a large science input catalogue of planets for easy plotting and use in research. Advanced querying of targets is possible using the database and Python programming language. ExoData is also able to parse spectral types and fill in missing parameters according to programmable specifications and equations. Examples of use cases are integration of equations into data reduction pipelines, selecting planets for observing proposals and as an input catalogue to large scale simulation and analysis of planets. ExoData is a Python package available freely on GitHub.1 It's open source and community contributions are encouraged. The package can be easily installed using pip install exodata, detailed setup information is provided within. Program summary Program title: ExoData Catalogue identifier: AFAL_v1_0 Program summary URL:http://cpc.cs.qub.ac.uk/summaries/AFAL_v1_0.html Program obtainable from: CPC Program Library, Queen's University, Belfast, N. Ireland Licensing provisions: GNU General Public License, version 3 No. of lines in distributed program, including test data, etc.: 21884 No. of bytes in distributed program, including test data, etc.: 608434 Distribution format: tar.gz Programming language: Python 2.7, 3.4, 3.5. Computer: Any. Operating system: Any. RAM: Less than 200MB Classification: 1.7. External routines: numpy, quantities, matplotlib, requests, astropy, seaborn, pandas, six Nature of problem: Being able to use exoplanet catalogue values in code including where there may be incomplete and incorrectly formatted values. Also being able to use the whole catalogue data at once, both for user querying, visualisation and in large simulation programs. Solution method: An interface to access the catalogue including filling in missing values and parsing of the catalogue data. Creating an API useable by both humans and other code, implementation of commonly used exoplanet equations, a plotting library. Running time: A few seconds depending on task © 2016 The Author(s)";"Catalogues, Exoplanets, Interface"
"Suro F., Ono Y.";"Japanese EFL learners' uses of text-to-speech technology and their learning behaviors: A pilot study";"The purpose of this study is to show how EFL learners work on Text-to-speech (TTS) technology to improve their speaking accuracy. We constructed the system for improving speaking proficiency based on Web-Speech API. Usually, text-to-speech is available on the net or by using TTS applications in education. However, these sounds produced are not generally customized to the diversity of learners' learning strategies. The system constructed in the study makes it possible for learners to choose the words, phrases sentences or the passage they like to listen to for their speaking practice. Major findings that came out from this study are: (i) As to the easier materials, accuracy improvement was observed regardless of their proficiency, (ii) On the contrary, as to the difficult materials, such an improvement was not observed in the experiment, and (iii) there is diversity of how they worked on the system, and there are some patterns in their learning behaviors, Bottom-uppers and Top-downers. These findings suggest the usefulness of the current system for various types of learners in terms of learning strategies and a future possibility from a learning analytic point of view to modify the system. © 2016 IEEE.";"EFL learners, Learning Behavior, Speaking Proficiency, Text-to-Speech (TTS)"
"Acar Y., Backes M., Fahl S., Kim D., Mazurek M.L., Stransky C.";"You Get Where You're Looking for: The Impact of Information Sources on Code Security";"Vulnerabilities in Android code - including but not limited to insecure data storage, unprotected inter-component communication, broken TLS implementations, and violations of least privilege - have enabled real-world privacy leaks and motivated research cataloguing their prevalence and impact. Researchers have speculated that appification promotes security problems, as it increasingly allows inexperienced laymen to develop complex and sensitive apps. Anecdotally, Internet resources such as Stack Overflow are blamed for promoting insecure solutions that are naively copy-pasted by inexperienced developers. In this paper, we for the first time systematically analyzed how the use of information resources impacts code security. We first surveyed 295 app developers who have published in the Google Play market concerning how they use resources to solve security-related problems. Based on the survey results, we conducted a lab study with 54 Android developers (students and professionals), in which participants wrote security-and privacy-relevant code under time constraints. The participants were assigned to one of four conditions: free choice of resources, Stack Overflow only, official Android documentation only, or books only. Those participants who were allowed to use only Stack Overflow produced significantly less secure code than those using, the official Android documentation or books, while participants using the official Android documentation produced significantly less functional code than those using Stack Overflow. To assess the quality of Stack Overflow as a resource, we surveyed the 139 threads our participants accessed during the study, finding that only 25% of them were helpful in solving the assigned tasks and only 17% of them contained secure code snippets. In order to obtain ground truth concerning the prevalence of the secure and insecure code our participants wrote in the lab study, we statically analyzed a random sample of 200,000 apps from Google Play, finding that 93.6% of the apps used at least one of the API calls our participants used during our study. We also found that many of the security errors made by our participants also appear in the wild, possibly also originating in the use of Stack Overflow to solve programming problems. Taken together, our results confirm that API documentation is secure but hard to use, while informal documentation such as Stack Overflow is more accessible but often leads to insecurity. Given time constraints and economic pressures, we can expect that Android developers will continue to choose those resources that are easiest to use, therefore, our results firmly establish the need for secure-but-usable documentation. © 2016 IEEE.";"Android, developer resources, developer study, security, usability"
"López-Fernández L., García B., Gallego M., Gortázar F.";"Designing and evaluating the usability of an API for real-time multimedia services in the Internet";"In the last few years, multimedia technologies in general, and Real-Time multimedia Communications (RTC) in particular, are becoming mainstream among WWW and smartphone developers, who have an increasing interest in richer media capabilities for creating their applications. The engineering literature proposing novel algorithms, protocols and architectures for managing and processing multimedia information is currently overwhelming. However, most of these results do not arrive to applications due to the lack of simple and usable APIs. Interestingly, in this context in which APIs are the critical ingredient for reaching wide developer audiences, the scientific literature about multimedia APIs and their usability is scarce. In this paper we try to contribute to fill this gap by proposing the RTC Media API: a novel type of API designed with the aim of making simple for developers the use of latest trends in RTC multimedia including WebRTC, Video Content Analysis or Augmented Reality. We provide a specification of such API and discuss how it satisfies a set of design requirements including programming-language agnosticism, adaptation to cloud environments, support to multisensory multimedia, etc. After that, we describe an implementation of such an API that has been created in the context of the Kurento open source software project, and present a study evaluating the API usability performed in a group of more than 40 professional developers distributed worldwide. In the light of the obtained results, we conclude that the usability of the API is adequate across the main development activities (i.e. API learning, code creation and code maintenance), with an average usability score of 3.39 over 5 in a Likert scale, and that this result is robust with respect to developers’ profiles, cultures, professional experiences and preferred programming languages. © 2016 Springer Science+Business Media New York,Application Programming Interfaces, Cognitive dimensions of notations, Media server, Multimedia processing, Multimedia tools and applications, Real-time multimedia communications, WebRTC"
"Sawant A.A., Bacchelli A.";"fine-GRAPE: fine-grained APi usage extractor – an approach and dataset to investigate API usage";"An Application Programming Interface (API) provides a set of functionalities to a developer with the aim of enabling reuse. APIs have been investigated from different angles such as popularity usage and evolution to get a better understanding of their various characteristics. For such studies, software repositories are mined for API usage examples. However, many of the mining algorithms used for such purposes do not take type information into account. Thus making the results unreliable. In this paper, we aim to rectify this by introducing fine-GRAPE, an approach that produces fine-grained API usage information by taking advantage of type information while mining API method invocations and annotation. By means of fine-GRAPE, we investigate API usages from Java projects hosted on GitHub. We select five of the most popular APIs across GitHub Java projects and collect historical API usage information by mining both the release history of these APIs and the code history of every project that uses them. We perform two case studies on the resulting dataset. The first measures the lag time of each client. The second investigates the percentage of used API features. In the first case we find that for APIs that release more frequently clients are far less likely to upgrade to a more recent version of the API as opposed to clients of APIs that release infrequently. The second case study shows us that for most APIs there is a small number of features that is actually used and most of these features relate to those that have been introduced early in the APIs lifecycle. © 2016 The Author(s)";"API popularity, API usage, Application programming interface, Dataset"
"Landhäußer M., Weigelt S., Tichy W.F.";"NLCI: a natural language command interpreter";"Natural language interfaces are becoming more and more common, because they are powerful and easy to use. Examples of such interfaces are voice controlled navigation devices, Apple’s personal assistant Siri, Google Voice Search, and translation services. However, such interfaces are extremely difficult to build, to maintain, and to port to new domains. We present an approach for building and porting such interfaces quickly. NLCI is a natural language command interpreter that accepts action commands in English and translates them into executable code. The core component is an ontology that models an API. Once the API is “ontologized”, NLCI translates input sentences into sequences of API calls that implement the intended actions. Two radically different APIs were ontologized: openHAB for home automation and Alice for building 3D animations. Construction of the ontology can be automated if the API uses descriptive names for its components. In that case, the language interface can be generated completely automatically. Recall and precision of NLCI on a benchmark of 50 input scripts are 67 and 78 %, resp. Though not yet acceptable for practical use, the results indicate that the approach is feasible. NLCI accepts typed input only. Future work will use a speech front-end to test spoken input. © 2016 Springer Science+Business Media New York,End-user programming, Knowledge-based software engineering, Natural language processing for software engineering, Program synthesis, Programming in natural language"
"Pathirage M., Hyde J., Pan Y., Plale B.";"SamzaSQL: Scalable fast data management with streaming SQL";"As the data-driven economy evolves, enterprises have come to realize a competitive advantage in being able to act on high volume, high velocity streams of data. Technologies such as distributed message queues and streaming processing platforms that can scale to thousands of data stream partitions on commodity hardware are a response. However, the programming API provided by these systems is often low-level, requiring substantial custom code that adds to the programmer learning curve and maintenance overhead. Additionally, these systems often lack SQL querying capabilities that have proven popular on Big Data systems like Hive, Impala or Presto. We define a minimal set of extensions to standard SQL for data stream querying and manipulation. These extensions are prototyped in SamzaSQL, a new tool for streaming SQL that compiles streaming SQL into physical plans that are executed on Samza, an open-source distributed stream processing framework. We compare the performance of streaming SQL queries against native Samza applications and discuss usability improvements. SamzaSQL is a part of the open source Apache Samza project and will be available for general use. © 2016 IEEE."
"Walker S., McFadden M.";"Best practices for scalable power measurement and control";"There are thousands of specialized registers onmodern processors which provide useful features such as powerbudgeting, thermal monitoring, and performance counting. These registers fall into two categories, model specific registers(MSRs) and configuration space registers (CSRs). Many ofthese registers, such as those supported by PAPI, help thehigh-performance computing (HPC) community analyze theirprogram in order to maximize performance and use resourcesmore efficiently. However, there are many MSRs and CSRswhich are not supported by existing performance tools. TheMSR kernel module provides access to all MSRs, but requiresthe user to be root. Users will typically want to access a handfulof MSRs sequentially, but we found that the existing MSRmodule has far too much overhead. Just like MSRs, usersneed elevated privileges to access CSRs with utilities suchas lspci. Simply allowing users to access all of the registersis out of the question because of the security risks involved. Furthermore, using these registers requires detailed knowledgeof the architectural changes in addition to the manufacturer'sproprietary ways of encoding the data. In this paper, we will describe a group of utilities developedat Lawrence Livermore National Laboratory to address theseproblems. Our Libmsr API solves the usability issues byproviding a simplified interface to common tasks. The companionkernel module, MSR-SAFE, allows whitelisting MSRsfor userspace access, plus provides an optimized way to accessMSRs in batches. Our CSR-SAFE kernel module is a first of itskind utility to whitelist sections of the PCI configuration space, where CSRs reside, for userspace access. We demonstrate theabilities of Libmsr and MSR-SAFE by using the utilities toset various power limits on the NAS parallel benchmark MG. Experiments analyzing our optimizations show a maximumspeedup of 26X, and approximately 2-8X on average for typicalbatches versus the stock MSR kernel module. Our utilitiescurrently support most modern Intel processors. © 2016 IEEE.";"Model Specific Registers, PCI Configuration Registers, Performance, Power, RAPL, Scalability"
